Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,consent,"What is your Prolific ID?

Please not that this response should auto-fill with the correct ID.",Age,Gender,How do you describe yourself? - Prefer to self-describe - Text,Ethnicity,Education,EconKnowl,Politics,Blue,question1,question2,question3,question4,question5,question6,question7,question8,question9,question10 ,PROLIFIC_PID
30/06/2023 19:36,30/06/2023 19:40,IP Address,70.108.18.86,100,248,True,30/06/2023 19:40,R_2CHtUe36Eg2ABMA,,,,,38.894,-77.0365,anonymous,EN-GB,"I consent, begin the study",5c08e1bd3329c500019bba93,25-34 years old,Female,,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",3,Independent,Blue,Strongly disagree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,No opinion,Strongly agree,Strongly agree,5c08e1bd3329c500019bba93
30/06/2023 19:38,30/06/2023 19:41,IP Address,184.57.112.115,100,213,True,30/06/2023 19:41,R_2X7gSAgzOA8hcgH,,,,,40.0181,-83.0117,anonymous,EN-GB,"I consent, begin the study",5b9056617b384b0001d13167,25-34 years old,Female,,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",2,Independent,Blue,Agree,Agree,Strongly agree,Uncertain,Uncertain,Agree,Uncertain,Uncertain,Agree,Disagree,5b9056617b384b0001d13167
30/06/2023 19:35,30/06/2023 19:44,IP Address,50.80.143.109,100,494,True,30/06/2023 19:44,R_1Cf0kYrB9BVGQsu,,,,,41.6006,-93.6296,anonymous,EN-GB,"I consent, begin the study",5c1d569699de680001e285df,55-64 years old,Female,,White or Caucasian,Associates or technical degree,2,Independent,Blue,Uncertain,Disagree,Strongly agree,Disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,5c1d569699de680001e285df
30/06/2023 19:43,30/06/2023 19:45,IP Address,12.206.226.130,100,128,True,30/06/2023 19:45,R_xbU8Xrk0G2u7H3P,,,,,29.7502,-95.471,anonymous,EN-GB,"I consent, begin the study",5783d604900cc80001d2d767,25-34 years old,Non-binary / third gender,,"White or Caucasian,Other",Associates or technical degree,3,Democrat,Blue,Agree,Strongly agree,No opinion,Strongly disagree,Strongly agree,Agree,Uncertain,Agree,No opinion,Strongly disagree,5783d604900cc80001d2d767
30/06/2023 19:47,30/06/2023 19:49,IP Address,68.75.10.11,100,90,True,30/06/2023 19:49,R_1BXjYzz8GtFCEg4,,,,,41.8733,-88.1163,anonymous,EN-GB,"I consent, begin the study",6419ae0434916e5dde92e2f2,25-34 years old,Male,,Other,Bachelor’s degree,4,Independent,Blue,Uncertain,Agree,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Agree,6419ae0434916e5dde92e2f2
30/06/2023 19:49,30/06/2023 19:51,IP Address,173.174.84.167,100,129,True,30/06/2023 19:51,R_2Vr2lRZE48GeRj5,,,,,30.2627,-97.7467,anonymous,EN-GB,"I consent, begin the study",608606a3fe863e64eca952bc,25-34 years old,Female,,Asian,"Some college, but no degree",2,Democrat,Blue,Uncertain,Agree,Uncertain,Disagree,Agree,Agree,Uncertain,Agree,Uncertain,Agree,608606a3fe863e64eca952bc
30/06/2023 19:49,30/06/2023 19:52,IP Address,136.62.53.222,100,180,True,30/06/2023 19:52,R_XX1wfqXwGsj4iOd,,,,,30.2732,-97.7419,anonymous,EN-GB,"I consent, begin the study",5fceb8342eb3f717cf22535d,25-34 years old,Female,,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",5,Democrat,Blue,Agree,Uncertain,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Uncertain,Uncertain,Uncertain,Agree,5fceb8342eb3f717cf22535d
30/06/2023 19:50,30/06/2023 19:54,IP Address,104.186.255.94,100,203,True,30/06/2023 19:54,R_42PbVNg1y3yu4j7,,,,,37.9269,-122.3313,anonymous,EN-GB,"I consent, begin the study",5820ab7820c34d0001e6dff2,25-34 years old,Male,,Asian,Bachelor’s degree,8,Democrat,Blue,Agree,Strongly agree,Strongly agree,Uncertain,Strongly agree,Agree,Strongly agree,Disagree,Agree,Agree,5820ab7820c34d0001e6dff2
30/06/2023 19:52,30/06/2023 19:54,IP Address,71.135.220.244,100,119,True,30/06/2023 19:54,R_3kchmYHa7K3Kkly,,,,,33.8498,-118.0086,anonymous,EN-GB,"I consent, begin the study",56f43221dc03a8000d98dbcd,25-34 years old,Male,,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",2,Democrat,Blue,Uncertain,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Uncertain,Agree,Agree,Strongly agree,56f43221dc03a8000d98dbcd
30/06/2023 19:49,30/06/2023 19:54,IP Address,50.80.81.254,100,299,True,30/06/2023 19:54,R_2Uc7NaVGWPtnHV1,,,,,41.2352,-89.3218,anonymous,EN-GB,"I consent, begin the study",60907f06f13b0d2c196099eb,45-54 years old,Female,,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",5,Independent,Blue,Agree,Uncertain,Disagree,Disagree,Agree,Agree,Disagree,Uncertain,Uncertain,Agree,60907f06f13b0d2c196099eb
